title,abstract,biomimicry
“Magnetic” termite mound surfaces are oriented to suit wind and shade conditions,SummaryThe termites Amitermes meridionalis and A. laurensis construct remarkable meridional or “magnetic” mounds in northern Australia. These mounds vary geographically in mean orientation in a manner that suggests such variation is an adaptive response to local environmental conditions. Theoretical modelling of solar irradiance and mound rotation experiments show that maintenance of an eastern face temperature plateau during the dry season is the most likely physical basis for the mound orientation response. Subsequent heat transfer analysis shows that habitat wind speed and shading conditions also affect face temperature gradients such as the rate of eastern face temperature change. It is then demonstrated that the geographic variation in mean mound orientation follows the geographic variation in long-term wind speed and shading conditions across northern Australia such that an eastern face temperature plateau is maintained in all locations.,TRUE
2. Infrared and visible reflectance in different lichen species and its ecological significance,,TRUE
A bio-inspired visual collision detection mechanism for cars: Optimisation of a model of a locust neuron to a novel environment,"The lobula giant movement detector (LGMD) neuron of locusts has been shown to preferentially respond to objects approaching the eye of a locust on a direct collision course. Computer simulations of the neuron have been developed and have demonstrated the ability of mobile robots, interfaced with a simulated LGMD model, to avoid collisions. In this study, a model of the LGMD neuron is presented and the functional parameters of the model identified. Models with different parameters were presented with a range of automotive video sequences, including collisions with cars. The parameters were optimised to respond correctly to the video sequences using a range of genetic algorithms (GAs). The model evolved most rapidly using GAs with high clone rates into a form suitable for detecting collisions with cars and not producing false collision alerts to most non-collision scenes.",TRUE
A Biological Screw in a Beetle’s Leg,Joints on the legs of weevils form a functional screw-and-nut system. The coxa-trochanteral joints on the legs of the weevil Trigonopterus oblongus (Pascoe) work as a biological screw-and-nut system. The apical portions of the coxae closely resemble nuts with well-defined inner threads covering 345°. The corresponding trochanters have perfectly compatible external spiral threads of 410°.,TRUE
A Biological Solution to a Fundamental Distributed Computing Problem,"Modeling of development in the fruit fly yields an algorithm useful in designing wireless communication networks. Computational and biological systems are often distributed so that processors (cells) jointly solve a task, without any of them receiving all inputs or observing all outputs. Maximal independent set (MIS) selection is a fundamental distributed computing procedure that seeks to elect a set of local leaders in a network. A variant of this problem is solved during the development of the fly’s nervous system, when sensory organ precursor (SOP) cells are chosen. By studying SOP selection, we derived a fast algorithm for MIS selection that combines two attractive features. First, processors do not need to know their degree; second, it has an optimal message complexity while only using one-bit messages. Our findings suggest that simple and efficient algorithms can be developed on the basis of biologically derived insights.",TRUE
A biological sub-micron thickness optical broadband reflector characterized using both light and microwaves,"Broadband optical reflectors generally function through coherent scattering from systems comprising one of three designs: overlapped; chirped; or chaotic multilayer reflectors. For each, the requirement to scatter a broad band of wavelengths is met through the presence of a variation in nanostructural periodicity running perpendicular to the systems' outer surfaces. Consequently, the requisite total thickness of the multilayer can often be in excess of 50 μm. Here, we report the discovery and the microwave-assisted characterization of a natural system that achieves excellent optical broadband reflectivity but that is less than 1 μm thick. This system, found on the wing scales of the butterfly Argyrophorus argenteus, comprises a distinctive variation in periodicity that runs parallel to the reflecting surface, rather than perpendicular to it. In this way, the requirement for an extensively thick system is removed.",TRUE
A branched material based on biomimetic design: Synthesis and electrochemical properties,"Based on the biomimetic route the metal material with tree-like fractal structure was prepared, which showed a rough surface observed by scanning electron microscopy. According to the electrochemical experiments, the formed material exhibited the strong catalytic capability as an electrode in hydrogen evolution reaction, comparing with other conventional structure materials under comparable scales. We suggested this promotion of property arose from the contribution of the great surface area and the excellent connectivity offered from the fractal structure. (c) 2005 Elsevier B.V. All rights reserved.",TRUE
A buckling region in locust hindlegs contains resilin and absorbs energy when jumping or kicking goes wrong,"If a hindleg of a locust slips during jumping, or misses its target during kicking, energy generated by the two extensor tibiae muscles is no longer expended in raising the body or striking a target. How, then, is the energy in a jump (4100–4800 μJ) or kick (1700 μJ) dissipated? A specialised buckling region found in the proximal hind-tibia where the bending moment is high, but not present in the other legs, buckled and allowed the distal part of the tibia to extend. In jumps when a hindleg slipped, it bent by a mean of 23±14 deg at a velocity of 13.4±9.5 deg ms–1; in kicks that failed to contact a target it bent by 32±16 deg at a velocity of 32.9±9.5 deg ms–1. It also buckled 8.5±4.0 deg at a rate of 0.063±0.005 deg ms–1 when the tibia was prevented from flexing fully about the femur in preparation for both these movements. By experimentally buckling this region through 40 deg at velocities of 0.001–0.65 deg ms–1, we showed that one hindleg could store about 870 μJ on bending, of which 210 μJ was dissipated back to the leg on release. A band of blue fluorescence was revealed at the buckling region under UV illumination that had the two key signatures of the elastic protein resilin. A group of campaniform sensilla 300 μm proximal to the buckling region responded to imposed buckling movements. The features of the buckling region show that it can act as a shock absorber as proposed previously when jumping and kicking movements go wrong.",TRUE
A Clerodane Diterpene from Callicarpa americana Resensitizes Methicillin-Resistant Staphylococcus aureus to ß-Lactam Antibiotics.,"The rise of antibiotic resistance presents a significant healthcare challenge and precludes the use of many otherwise valuable antibiotics. One potential solution to this problem is the use of antibiotics in combination with resistance-modifying agents, compounds that act synergistically with existing antibiotics to resensitize previously resistant bacteria. In this study, 12(S),16ξ-dihydroxycleroda-3,13-dien-15,16-olide, a clerodane diterpene isolated from the medicinal plant Callicarpa americana, was found to synergize with oxacillin against methicillin-resistant Staphylococcus aureus. This synergy was confirmed by checkerboard (FICI = 0.125) and time-kill assays, with a sub-inhibitory dose of 12(S),16ξ-dihydroxycleroda-3,13-dien-15,16-olide causing the effective concentration of oxacillin to fall below the susceptibility breakpoint for S. aureus, a > 32-fold decrease in both cases.",TRUE
A conserved spider silk domain acts as a molecular switch that controls fibre assembly,"A huge variety of proteins are able to form fibrillar structures, especially at high protein concentrations. Hence, it is surprising that spider silk proteins can be stored in a soluble form at high concentrations and transformed into extremely stable fibres on demand. Silk proteins are reminiscent of amphiphilic block copolymers containing stretches of polyalanine and glycine-rich polar elements forming a repetitive core flanked by highly conserved non-repetitive amino-terminal and carboxy-terminal domains. The N-terminal domain comprises a secretion signal, but further functions remain unassigned. The C-terminal domain was implicated in the control of solubility and fibre formation initiated by changes in ionic composition and mechanical stimuli known to align the repetitive sequence elements and promote β-sheet formation. However, despite recent structural data, little is known about this remarkable behaviour in molecular detail. Here we present the solution structure of the C-terminal domain of a spider dragline silk protein and provide evidence that the structural state of this domain is essential for controlled switching between the storage and assembly forms of silk proteins. In addition, the C-terminal domain also has a role in the alignment of secondary structural features formed by the repetitive elements in the backbone of spider silk proteins, which is known to be important for the mechanical properties of the fibre.",TRUE
